Card URL,Raw Price,PSA 8 Price,PSA 9 Price,PSA 10 Price,Expected Profit
https://www.pricecharting.com/game/pokemon-fusion-strike/gengar-vmax-271,285.0,220.0,442.45,595.25,294.13
https://www.pricecharting.com/game/pokemon-fusion-strike/espeon-vmax-270,170.9,160.0,230.0,331.61,17.11
https://www.pricecharting.com/game/pokemon-fusion-strike/celebi-v-245,28.59,28.49,64.0,106.25,-4.9
https://www.pricecharting.com/game/pokemon-fusion-strike/gengar-vmax-157,7.99,15.2,29.66,69.49,-25.39
https://www.pricecharting.com/game/pokemon-fusion-strike/genesect-v-255,14.86,16.25,51.0,69.99,-34.83
https://www.pricecharting.com/game/pokemon-fusion-strike/mew-vmax-269,63.0,61.0,90.0,154.85,-48.23
https://www.pricecharting.com/game/pokemon-fusion-strike/mew-vmax-114,4.5,10.22,41.0,42.11,-48.32
https://www.pricecharting.com/game/pokemon-fusion-strike/mew-v-251,34.88,29.99,65.8,109.5,-49.82
https://www.pricecharting.com/game/pokemon-fusion-strike/gengar-v-156,2.67,14.25,15.58,49.44,-62.45
https://www.pricecharting.com/game/pokemon-fusion-strike/inteleon-vmax-266,17.69,20.06,47.49,61.87,-79.83
https://www.pricecharting.com/game/pokemon-fusion-strike/greninja-v-73,1.55,8.5,14.0,47.41,-80.0
https://www.pricecharting.com/game/pokemon-fusion-strike/sandaconda-v-252,4.0,10.5,25.0,40.17,-88.12
https://www.pricecharting.com/game/pokemon-fusion-strike/pikachu-v-86,1.95,13.43,17.0,34.49,-92.54
https://www.pricecharting.com/game/pokemon-fusion-strike/boltund-v-103,1.62,12.51,15.0,35.0,-96.17
https://www.pricecharting.com/game/pokemon-fusion-strike/mew-v-250,6.08,15.99,20.51,38.4,-106.21
https://www.pricecharting.com/game/pokemon-fusion-strike/shauna-263,4.53,11.66,14.0,43.58,-108.83
https://www.pricecharting.com/game/pokemon-fusion-strike/training-court-282,3.29,15.44,19.0,27.08,-112.9
https://www.pricecharting.com/game/pokemon-fusion-strike/mew-vmax-268,32.35,27.4,53.44,87.0,-122.22
https://www.pricecharting.com/game/pokemon-fusion-strike/greedent-v-257,8.38,11.15,22.0,44.89,-125.32
https://www.pricecharting.com/game/pokemon-fusion-strike/rillaboom-vmax-23,2.28,7.52,9.6,35.93,-131.13
https://www.pricecharting.com/game/pokemon-fusion-strike/lucario-v-146,1.42,5.0,12.0,32.99,-132.48
https://www.pricecharting.com/game/pokemon-fusion-strike/cinderace-v-43,1.61,7.04,9.0,34.0,-132.51
https://www.pricecharting.com/game/pokemon-fusion-strike/cinderace-vmax-45,2.42,6.17,13.52,33.53,-133.24
https://www.pricecharting.com/game/pokemon-fusion-strike/tyranitar-v-158,1.56,10.0,11.1,25.51,-138.24
https://www.pricecharting.com/game/pokemon-fusion-strike/elesa%27s-sparkle-260,4.98,11.99,14.0,32.82,-139.64
https://www.pricecharting.com/game/pokemon-fusion-strike/elesa%27s-sparkle-275,5.4,8.81,22.09,30.0,-141.22
https://www.pricecharting.com/game/pokemon-fusion-strike/mew-v-113,2.0,5.5,15.0,27.99,-141.68
https://www.pricecharting.com/game/pokemon-fusion-strike/boltund-v-249,2.75,3.25,9.0,37.5,-147.88
https://www.pricecharting.com/game/pokemon-fusion-strike/chili-&-cilan-&-cress-258,1.95,7.17,18.0,19.87,-148.55
https://www.pricecharting.com/game/pokemon-fusion-strike/chandelure-vmax-40,1.99,3.99,14.5,26.98,-150.56
https://www.pricecharting.com/game/pokemon-fusion-strike/greedent-vmax-218,1.29,5.89,12.5,22.42,-153.83
https://www.pricecharting.com/game/pokemon-fusion-strike/deoxys-holo-120,1.44,7.99,10.0,21.94,-155.79
https://www.pricecharting.com/game/pokemon-fusion-strike/flaaffy-280,5.49,12.0,13.0,29.44,-155.88
https://www.pricecharting.com/game/pokemon-fusion-strike/grass-energy-283,6.64,11.12,19.99,24.99,-163.89
https://www.pricecharting.com/game/pokemon-fusion-strike/fire-energy-284,5.93,10.0,15.0,28.0,-165.65
https://www.pricecharting.com/game/pokemon-fusion-strike/hoopa-v-253,3.32,6.5,10.0,26.68,-167.57
https://www.pricecharting.com/game/pokemon-fusion-strike/genesect-v-185-holo,1.85,5.51,13.0,13.0,-183.47
https://www.pricecharting.com/game/pokemon-fusion-strike/inteleon-vmax-79,2.39,1.69,10.25,16.5,-199.94
